market,(All),,,,,,Sum of price based on food category
commodity,(All),,,,,,
longitude,(All),,,,,,
latitude,(All),,,,,,
,,,,,,,
Row Labels,Count of pricetype,Sum of price,Sum of usdprice,,,,
cereals and tubers,39738,3732800.11,64234.0879,,,,
100 KG,1658,2773656.6,50175.9658,,,,
KG,38080,959143.51,14058.1221,,,,
milk and dairy,8641,388698.78,5489.1441,,,,
L,8641,388698.78,5489.1441,,,,
miscellaneous food,33668,3462252.2,50882.407,,,,
100 KG,235,768209.81,12998.4487,,,,
KG,33433,2694042.39,37883.9583,,,,
oil and fats,41728,5194954.48,72628.8735,,,,
KG,41728,5194954.48,72628.8735,,,,
pulses and nuts,28718,2636082.26,36175.7206,,,,
KG,28718,2636082.26,36175.7206,,,,
vegetables and fruits,16002,468773.12,6634.1426,,,,
KG,16002,468773.12,6634.1426,,,,
Grand Total,168495,15883560.95,236044.3757,,,,
